fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6
8,0.4,0.33,7.7,0.034,27,98,0.9935,3.18,0.41,12.2,7
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6
7.4,0.45,0.32,7.1,0.044,17,117,0.9962,3.32,0.41,10.4,4
5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,8
7,0.17,0.74,12.8,0.045,24,126,0.9942,3.26,0.38,12.2,8
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6
7.7,0.35,0.49,8.65,0.033,42,186,0.9931,3.14,0.38,12.4,8
6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8
6.5,0.36,0.28,3.2,0.037,29,119,0.9908,3.25,0.65,12.4,8
6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,4
7.1,0.32,0.34,14.5,0.039,46,150,0.995,3.38,0.5,12.5,8
6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7
6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11,8
6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7
6.6,0.33,0.31,1.3,0.02,29,89,0.99035,3.26,0.44,12.4,8
,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,4
8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,7
6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8
6.2,0.22,0.49,6,0.029,31,128,0.9928,3.41,0.36,11.3,8
6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,4
9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,4
7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4
6.3,0.41,0.33,4.7,0.023,28,110,0.991,3.3,0.38,12.5,7
7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7
8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6
8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6
8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4
7.1,0.28,0.49,6.5,0.041,28,111,0.9926,3.41,0.58,12.2,8
6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8
7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6
6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,8
7,0.2,0.34,2.1,0.049,12,136,0.9922,3.25,0.46,11.6,7
6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6
6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6
6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6
6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6
7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7
6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4
7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,4
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6
6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,5
8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8,4
6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,7
6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7
6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6
6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6
6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6
7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6
6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,6
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6
6.9,0.25,0.27,9.05,0.039,37,128,0.9936,3.27,0.34,11.3,8
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6
7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,4
6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7,7
6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,7
6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,5
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8
7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,8
6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,6
6.3,0.24,0.37,1.8,0.031,6,61,0.9897,3.3,0.34,12.2,4
7.3,0.22,0.31,2.3,0.018,45,80,0.98936,3.06,0.34,12.9,7
7.6,0.23,0.26,15.3,0.067,32,166,0.9986,3.03,0.44,9.2,4
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8
7.5,0.29,0.26,14.95,0.067,47,178,0.99838,3.04,0.49,9.2,4
7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,7
7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7
7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7
7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8,8
9.4,0.29,0.55,2.2,0.05,17,119,0.9962,3.12,0.69,10.3,4
7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6
7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5
5.3,0.3,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7,4
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6
6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5
7,0.16,0.36,2.6,0.029,28,98,0.99126,3.11,0.37,11.2,7
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6
7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4
6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7
6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7
7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7
6.5,0.14,0.32,2.7,0.037,18,89,0.9924,3.4,0.74,11.5,7
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6
8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4,7
9.2,0.22,0.4,2.4,0.054,18,151,0.9952,3.04,0.46,9.3,4
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5
6.5,0.28,0.35,9.8,0.067,61,180,0.9972,3.15,0.57,9,4
6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5
7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5
7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8
6.5,0.52,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10,4
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6
7.6,0.33,0.36,2.1,0.034,26,172,0.9944,3.42,0.48,10.5,4
6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,5
7.9,0.16,0.3,4.8,0.037,37,171,0.9967,3.47,0.44,9,4
7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5
5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4
6,0.31,0.24,3.3,0.041,25,143,0.9914,3.31,0.44,11.3,6
7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,6
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5
7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,5
8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4,8
7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5
7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5,8
6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7
6.9,0.39,0.22,4.3,0.03,10,102,0.993,3,0.87,11.6,4
7.7,0.28,0.63,11.1,0.039,58,179,0.9979,3.08,0.44,8.8,4
7.5,0.18,0.31,11.7,0.051,24,94,0.997,3.19,0.44,9.5,7
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7
6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7
8,0.66,0.72,17.55,0.042,62,233,0.9999,2.92,0.68,9.4,4
5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7
6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,5
6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5
6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,5
6.9,0.21,0.28,2.4,0.056,49,159,0.9944,3.02,0.47,8.8,8
8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6
6.9,0.12,0.36,2.2,0.037,18,111,0.9919,3.41,0.82,11.9,8
6.8,0.19,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8,7
6.5,0.24,0.36,2.2,0.027,36,134,0.9898,3.28,0.36,12.5,7
6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,4
6.4,0.44,0.44,14.4,0.048,29,228,0.99955,3.26,0.54,8.8,7
7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,6
8.5,0.21,0.41,4.3,0.036,24,99,0.9947,3.18,0.53,9.7,6
8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,6
7.1,0.25,0.39,2.1,0.036,30,124,0.9908,3.28,0.43,12.2,8
6.9,0.41,0.22,4.2,0.031,10,102,0.993,3,0.86,11.6,4
6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4
6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7
6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9,4
7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,7
6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5,4
6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,4
6.8,0.19,0.32,7.05,0.019,54,188,0.9935,3.25,0.37,11.1,8
8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,6
9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,4
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7
7.9,0.28,0.41,2,0.044,50,152,0.9934,3.45,0.49,10.7,8
6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
7.6,0.48,0.33,7,0.024,14,130,0.9918,3.25,0.45,12.5,7
5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8
6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,4
6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,7
7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5
9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,5
6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,4
7.9,0.19,0.45,1.5,0.045,17,96,0.9917,3.13,0.39,11,6
7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,4
9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1,4
,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,5
7,0.36,0.3,5,0.04,40,143,0.99173,3.33,0.42,12.2,7
7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6,4
5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,5
6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,4
6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,6
6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6
7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,5
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5
6.9,0.27,0.4,14,0.05,64,227,0.9979,3.18,0.58,9.6,6
6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,5
6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,5
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,7
6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,8
6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,4
9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10,4
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5
7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,4
6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7
6.4,0.17,0.34,1.5,0.091,42,135,0.9938,3.25,0.49,9.6,7
6.4,0.3,0.45,3.5,0.197,76,180,0.9942,3.02,0.39,9.1,6
7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,4
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5
7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5
6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5
7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5
6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,5
9.2,0.19,0.42,2,0.047,16,104,0.99517,3.09,0.66,10,4
5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4
6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8,5
7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5
10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,4
6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5
6.1,0.4,0.31,0.9,0.048,23,170,0.993,3.22,0.77,9.5,6
5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5
6.8,0.18,0.38,1.4,0.038,35,111,0.9918,3.32,0.59,11.2,7
7,0.26,0.26,10.8,0.039,37,184,0.99787,3.47,0.58,10.3,7
6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5
5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5
5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4,5
7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11,5
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5
7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,6
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
6.5,0.19,0.3,0.8,0.043,33,144,0.9936,3.42,0.39,9.1,6
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4
7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6
7.1,0.25,0.32,10.3,0.041,66,272,0.9969,3.17,0.52,9.1,6
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6
7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5
6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9,4
6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4
6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,4
6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,7
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5,4
6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,6
7,0.26,0.59,1.4,0.037,40,120,0.9918,3.34,0.41,11.1,7
6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9,4
7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,5
7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5
7.1,0.21,0.37,2.4,0.026,23,100,0.9903,3.15,0.38,11.4,7
7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,4
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5
8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,4
6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,7
5.8,0.2,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9,7
5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7
,0.41,0.14,10.4,0.037,18,119,0.996,3.38,0.45,10,5
5.9,0.21,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10,4
7.7,0.4,0.27,4.5,0.034,27,95,0.99175,3.21,0.59,12.3,8
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5
5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,8
